FIELDNAME,LAT,LON,PERIODDATE,Oil Production Volumes,Gas Production Volumes,Water Production Volumes,Cumulative Oil Production Volumes,Cumulative Gas Production Volumes,Cumulative Water Production Volumes
33/9-6 DELTA,61.162,1.512,2009-07-01T00:00:00.000Z,700.0,110.0,510.0,700.0,110.0,510.0
33/9-6 DELTA,61.162,1.512,2009-08-01T00:00:00.000Z,2920.0,470.0,630.0,3620.0,580.0,1140.0
33/9-6 DELTA,61.162,1.512,2009-09-01T00:00:00.000Z,3380.0,540.0,3160.0,7000.0,1120.0,4300.0
33/9-6 DELTA,61.162,1.512,2009-10-01T00:00:00.000Z,3120.0,500.0,5350.0,10120.0,1620.0,9650.0
33/9-6 DELTA,61.162,1.512,2009-11-01T00:00:00.000Z,0.0,0.0,0.0,10120.0,1620.0,9650.0
33/9-6 DELTA,61.162,1.512,2009-12-01T00:00:00.000Z,620.0,100.0,960.0,10740.0,1720.0,10610.0
33/9-6 DELTA,61.162,1.512,2010-01-01T00:00:00.000Z,480.0,80.0,790.0,11220.0,1800.0,11400.0
33/9-6 DELTA,61.162,1.512,2010-02-01T00:00:00.000Z,2700.0,430.0,4510.0,13920.0,2230.0,15910.0
33/9-6 DELTA,61.162,1.512,2010-03-01T00:00:00.000Z,3270.0,520.0,6820.0,17190.0,2750.0,22730.0
33/9-6 DELTA,61.162,1.512,2010-04-01T00:00:00.000Z,2380.0,380.0,9180.0,19570.0,3130.0,31910.0
33/9-6 DELTA,61.162,1.512,2010-05-01T00:00:00.000Z,3130.0,500.0,6980.0,22700.0,3630.0,38890.0
33/9-6 DELTA,61.162,1.512,2010-06-01T00:00:00.000Z,1930.0,310.0,2670.0,24630.0,3940.0,41560.0
33/9-6 DELTA,61.162,1.512,2010-07-01T00:00:00.000Z,2870.0,460.0,3620.0,27500.0,4400.0,45180.0
33/9-6 DELTA,61.162,1.512,2010-08-01T00:00:00.000Z,2370.0,380.0,3070.0,29870.0,4780.0,48250.0
33/9-6 DELTA,61.162,1.512,2010-09-01T00:00:00.000Z,0.0,0.0,0.0,29870.0,4780.0,48250.0
33/9-6 DELTA,61.162,1.512,2010-10-01T00:00:00.000Z,0.0,0.0,0.0,29870.0,4780.0,48250.0
33/9-6 DELTA,61.162,1.512,2010-11-01T00:00:00.000Z,0.0,0.0,0.0,29870.0,4780.0,48250.0
33/9-6 DELTA,61.162,1.512,2010-12-01T00:00:00.000Z,450.0,70.0,750.0,30320.0,4850.0,49000.0
33/9-6 DELTA,61.162,1.512,2011-01-01T00:00:00.000Z,0.0,0.0,0.0,30320.0,4850.0,49000.0
33/9-6 DELTA,61.162,1.512,2011-02-01T00:00:00.000Z,1150.0,180.0,1390.0,31470.0,5030.0,50390.0
33/9-6 DELTA,61.162,1.512,2011-03-01T00:00:00.000Z,1220.0,200.0,1410.0,32690.0,5230.0,51800.0
33/9-6 DELTA,61.162,1.512,2011-04-01T00:00:00.000Z,2400.0,380.0,2950.0,35090.0,5610.0,54750.0
33/9-6 DELTA,61.162,1.512,2011-05-01T00:00:00.000Z,2510.0,400.0,790.0,37600.0,6010.0,55540.0
33/9-6 DELTA,61.162,1.512,2011-06-01T00:00:00.000Z,1490.0,240.0,90.0,39090.0,6250.0,55630.0
33/9-6 DELTA,61.162,1.512,2011-07-01T00:00:00.000Z,1810.0,290.0,110.0,40900.0,6540.0,55740.0
33/9-6 DELTA,61.162,1.512,2011-08-01T00:00:00.000Z,2590.0,410.0,150.0,43490.0,6950.0,55890.0
33/9-6 DELTA,61.162,1.512,2011-09-01T00:00:00.000Z,2160.0,350.0,120.0,45650.0,7300.0,56010.0
33/9-6 DELTA,61.162,1.512,2011-10-01T00:00:00.000Z,650.0,110.0,40.0,46300.0,7410.0,56050.0
33/9-6 DELTA,61.162,1.512,2011-11-01T00:00:00.000Z,1990.0,320.0,180.0,48290.0,7730.0,56230.0
33/9-6 DELTA,61.162,1.512,2011-12-01T00:00:00.000Z,1540.0,250.0,140.0,49830.0,7980.0,56370.0
33/9-6 DELTA,61.162,1.512,2012-01-01T00:00:00.000Z,1730.0,280.0,480.0,51560.0,8260.0,56850.0
33/9-6 DELTA,61.162,1.512,2012-02-01T00:00:00.000Z,610.0,100.0,390.0,52170.0,8360.0,57240.0
33/9-6 DELTA,61.162,1.512,2012-03-01T00:00:00.000Z,1280.0,210.0,810.0,53450.0,8570.0,58050.0
33/9-6 DELTA,61.162,1.512,2012-04-01T00:00:00.000Z,0.0,0.0,0.0,53450.0,8570.0,58050.0
33/9-6 DELTA,61.162,1.512,2012-05-01T00:00:00.000Z,350.0,60.0,230.0,53800.0,8630.0,58280.0
33/9-6 DELTA,61.162,1.512,2012-06-01T00:00:00.000Z,1420.0,230.0,250.0,55220.0,8860.0,58530.0
33/9-6 DELTA,61.162,1.512,2012-07-01T00:00:00.000Z,2510.0,400.0,480.0,57730.0,9260.0,59010.0
33/9-6 DELTA,61.162,1.512,2012-08-01T00:00:00.000Z,1470.0,240.0,260.0,59200.0,9500.0,59270.0
33/9-6 DELTA,61.162,1.512,2012-09-01T00:00:00.000Z,90.0,10.0,20.0,59290.0,9510.0,59290.0
33/9-6 DELTA,61.162,1.512,2012-10-01T00:00:00.000Z,2300.0,370.0,400.0,61590.0,9880.0,59690.0
33/9-6 DELTA,61.162,1.512,2012-11-01T00:00:00.000Z,1680.0,270.0,350.0,63270.0,10150.0,60040.0
33/9-6 DELTA,61.162,1.512,2012-12-01T00:00:00.000Z,950.0,150.0,210.0,64220.0,10300.0,60250.0
33/9-6 DELTA,61.162,1.512,2013-01-01T00:00:00.000Z,470.0,70.0,100.0,64690.0,10370.0,60350.0
33/9-6 DELTA,61.162,1.512,2013-02-01T00:00:00.000Z,0.0,0.0,0.0,64690.0,10370.0,60350.0
33/9-6 DELTA,61.162,1.512,2013-03-01T00:00:00.000Z,800.0,130.0,170.0,65490.0,10500.0,60520.0
33/9-6 DELTA,61.162,1.512,2013-04-01T00:00:00.000Z,700.0,110.0,160.0,66190.0,10610.0,60680.0
33/9-6 DELTA,61.162,1.512,2013-05-01T00:00:00.000Z,320.0,50.0,90.0,66510.0,10660.0,60770.0
33/9-6 DELTA,61.162,1.512,2013-06-01T00:00:00.000Z,450.0,70.0,100.0,66960.0,10730.0,60870.0
33/9-6 DELTA,61.162,1.512,2013-07-01T00:00:00.000Z,320.0,50.0,80.0,67280.0,10780.0,60950.0
33/9-6 DELTA,61.162,1.512,2013-08-01T00:00:00.000Z,400.0,60.0,0.0,67680.0,10840.0,60950.0
33/9-6 DELTA,61.162,1.512,2013-09-01T00:00:00.000Z,860.0,140.0,0.0,68540.0,10980.0,60950.0
33/9-6 DELTA,61.162,1.512,2013-10-01T00:00:00.000Z,20.0,0.0,0.0,68560.0,10980.0,60950.0
33/9-6 DELTA,61.162,1.512,2013-11-01T00:00:00.000Z,0.0,0.0,0.0,68560.0,10980.0,60950.0
33/9-6 DELTA,61.162,1.512,2013-12-01T00:00:00.000Z,920.0,150.0,0.0,69480.0,11130.0,60950.0
33/9-6 DELTA,61.162,1.512,2014-01-01T00:00:00.000Z,890.0,140.0,10.0,70370.0,11270.0,60960.0
33/9-6 DELTA,61.162,1.512,2014-02-01T00:00:00.000Z,50.0,10.0,0.0,70420.0,11280.0,60960.0
ALBUSKJELL,56.37,3.02,1979-05-01T00:00:00.000Z,5040.0,8530.0,0.0,5040.0,8530.0,0.0
ALBUSKJELL,56.37,3.02,1979-06-01T00:00:00.000Z,13200.0,23650.0,0.0,18240.0,32180.0,0.0
ALBUSKJELL,56.37,3.02,1979-07-01T00:00:00.000Z,40490.0,60820.0,0.0,58730.0,93000.0,0.0
ALBUSKJELL,56.37,3.02,1979-08-01T00:00:00.000Z,109430.0,138220.0,0.0,168160.0,231220.0,0.0
ALBUSKJELL,56.37,3.02,1979-09-01T00:00:00.000Z,122780.0,148660.0,0.0,290940.0,379880.0,0.0
ALBUSKJELL,56.37,3.02,1979-10-01T00:00:00.000Z,79930.0,91960.0,0.0,370870.0,471840.0,0.0
ALBUSKJELL,56.37,3.02,1979-11-01T00:00:00.000Z,127380.0,136400.0,0.0,498250.0,608240.0,0.0
ALBUSKJELL,56.37,3.02,1979-12-01T00:00:00.000Z,104520.0,117520.0,0.0,602770.0,725760.0,0.0
ALBUSKJELL,56.37,3.02,1980-01-01T00:00:00.000Z,139380.0,156450.0,0.0,742150.0,882210.0,0.0
ALBUSKJELL,56.37,3.02,1980-02-01T00:00:00.000Z,148920.0,168680.0,0.0,891070.0,1050890.0,0.0
ALBUSKJELL,56.37,3.02,1980-03-01T00:00:00.000Z,150870.0,169650.0,0.0,1041940.0,1220540.0,0.0
ALBUSKJELL,56.37,3.02,1980-04-01T00:00:00.000Z,129850.0,146600.0,0.0,1171790.0,1367140.0,0.0
ALBUSKJELL,56.37,3.02,1980-05-01T00:00:00.000Z,155280.0,175610.0,0.0,1327070.0,1542750.0,0.0
ALBUSKJELL,56.37,3.02,1980-06-01T00:00:00.000Z,160330.0,178980.0,0.0,1487400.0,1721730.0,0.0
ALBUSKJELL,56.37,3.02,1980-07-01T00:00:00.000Z,69370.0,71320.0,0.0,1556770.0,1793050.0,0.0
ALBUSKJELL,56.37,3.02,1980-08-01T00:00:00.000Z,151040.0,178880.0,0.0,1707810.0,1971930.0,0.0
ALBUSKJELL,56.37,3.02,1980-09-01T00:00:00.000Z,152440.0,179820.0,0.0,1860250.0,2151750.0,0.0
ALBUSKJELL,56.37,3.02,1980-10-01T00:00:00.000Z,142790.0,180050.0,0.0,2003040.0,2331800.0,0.0
ALBUSKJELL,56.37,3.02,1980-11-01T00:00:00.000Z,134760.0,166090.0,0.0,2137800.0,2497890.0,0.0
ALBUSKJELL,56.37,3.02,1980-12-01T00:00:00.000Z,137420.0,172450.0,0.0,2275220.0,2670340.0,0.0
ALBUSKJELL,56.37,3.02,1981-01-01T00:00:00.000Z,133340.0,170330.0,0.0,2408560.0,2840670.0,0.0
ALBUSKJELL,56.37,3.02,1981-02-01T00:00:00.000Z,134690.0,167430.0,0.0,2543250.0,3008100.0,0.0
ALBUSKJELL,56.37,3.02,1981-03-01T00:00:00.000Z,169140.0,210820.0,0.0,2712390.0,3218920.0,0.0
ALBUSKJELL,56.37,3.02,1981-04-01T00:00:00.000Z,153250.0,199280.0,0.0,2865640.0,3418200.0,0.0
ALBUSKJELL,56.37,3.02,1981-05-01T00:00:00.000Z,155280.0,204700.0,0.0,3020920.0,3622900.0,0.0
ALBUSKJELL,56.37,3.02,1981-06-01T00:00:00.000Z,148440.0,211010.0,0.0,3169360.0,3833910.0,0.0
ALBUSKJELL,56.37,3.02,1981-07-01T00:00:00.000Z,157010.0,224400.0,0.0,3326370.0,4058310.0,0.0
ALBUSKJELL,56.37,3.02,1981-08-01T00:00:00.000Z,61120.0,85930.0,0.0,3387490.0,4144240.0,0.0
ALBUSKJELL,56.37,3.02,1981-09-01T00:00:00.000Z,170310.0,263300.0,0.0,3557800.0,4407540.0,0.0
ALBUSKJELL,56.37,3.02,1981-10-01T00:00:00.000Z,138050.0,222320.0,0.0,3695850.0,4629860.0,0.0
ALBUSKJELL,56.37,3.02,1981-11-01T00:00:00.000Z,141930.0,220120.0,0.0,3837780.0,4849980.0,0.0
ALBUSKJELL,56.37,3.02,1981-12-01T00:00:00.000Z,156200.0,256860.0,0.0,3993980.0,5106840.0,0.0
ALBUSKJELL,56.37,3.02,1982-01-01T00:00:00.000Z,149600.0,255840.0,0.0,4143580.0,5362680.0,0.0
ALBUSKJELL,56.37,3.02,1982-02-01T00:00:00.000Z,124920.0,218420.0,0.0,4268500.0,5581100.0,0.0
ALBUSKJELL,56.37,3.02,1982-03-01T00:00:00.000Z,133770.0,230230.0,0.0,4402270.0,5811330.0,0.0
ALBUSKJELL,56.37,3.02,1982-04-01T00:00:00.000Z,117610.0,197230.0,0.0,4519880.0,6008560.0,0.0
ALBUSKJELL,56.37,3.02,1982-05-01T00:00:00.000Z,100150.0,176300.0,0.0,4620030.0,6184860.0,0.0
ALBUSKJELL,56.37,3.02,1982-06-01T00:00:00.000Z,115850.0,201230.0,0.0,4735880.0,6386090.0,0.0
ALBUSKJELL,56.37,3.02,1982-07-01T00:00:00.000Z,103560.0,186040.0,0.0,4839440.0,6572130.0,0.0
ALBUSKJELL,56.37,3.02,1982-08-01T00:00:00.000Z,85440.0,154750.0,0.0,4924880.0,6726880.0,0.0
ALBUSKJELL,56.37,3.02,1982-09-01T00:00:00.000Z,74520.0,139940.0,0.0,4999400.0,6866820.0,0.0
ALBUSKJELL,56.37,3.02,1982-10-01T00:00:00.000Z,66320.0,120580.0,0.0,5065720.0,6987400.0,0.0
ALBUSKJELL,56.37,3.02,1982-11-01T00:00:00.000Z,75090.0,147310.0,0.0,5140810.0,7134710.0,0.0
ALBUSKJELL,56.37,3.02,1982-12-01T00:00:00.000Z,82730.0,154650.0,0.0,5223540.0,7289360.0,0.0
ALBUSKJELL,56.37,3.02,1983-01-01T00:00:00.000Z,81450.0,149450.0,0.0,5304990.0,7438810.0,0.0
ALBUSKJELL,56.37,3.02,1983-02-01T00:00:00.000Z,84260.0,151860.0,0.0,5389250.0,7590670.0,0.0
ALBUSKJELL,56.37,3.02,1983-03-01T00:00:00.000Z,95080.0,171050.0,0.0,5484330.0,7761720.0,0.0
ALBUSKJELL,56.37,3.02,1983-04-01T00:00:00.000Z,88210.0,156500.0,0.0,5572540.0,7918220.0,0.0
ALBUSKJELL,56.37,3.02,1983-05-01T00:00:00.000Z,83750.0,156590.0,0.0,5656290.0,8074810.0,0.0
ALBUSKJELL,56.37,3.02,1983-06-01T00:00:00.000Z,82040.0,154170.0,0.0,5738330.0,8228980.0,0.0
ALBUSKJELL,56.37,3.02,1983-07-01T00:00:00.000Z,82490.0,164890.0,0.0,5820820.0,8393870.0,0.0
ALBUSKJELL,56.37,3.02,1983-08-01T00:00:00.000Z,72720.0,143210.0,0.0,5893540.0,8537080.0,0.0
ALBUSKJELL,56.37,3.02,1983-09-01T00:00:00.000Z,71210.0,138270.0,0.0,5964750.0,8675350.0,0.0
ALBUSKJELL,56.37,3.02,1983-10-01T00:00:00.000Z,72950.0,147660.0,0.0,6037700.0,8823010.0,0.0
ALBUSKJELL,56.37,3.02,1983-11-01T00:00:00.000Z,70770.0,136810.0,0.0,6108470.0,8959820.0,0.0
ALBUSKJELL,56.37,3.02,1983-12-01T00:00:00.000Z,69890.0,138330.0,0.0,6178360.0,9098150.0,0.0
ALBUSKJELL,56.37,3.02,1984-01-01T00:00:00.000Z,67390.0,140440.0,0.0,6245750.0,9238590.0,0.0
ALBUSKJELL,56.37,3.02,1984-02-01T00:00:00.000Z,62550.0,122590.0,0.0,6308300.0,9361180.0,0.0
